T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
17.65,7664.00,160.00,7632.26,158.70,0,0,0,0,0,0
17.70,7669.00,100.00,7639.61,146.96,0,0,0,0,0,0
17.75,7678.00,180.00,7647.29,153.57,0,0,0,0,0,0
17.80,7686.00,160.00,7655.03,154.85,0,0,0,0,0,0
17.85,7693.00,140.00,7662.62,151.88,0,0,0,0,0,0
17.90,7699.00,120.00,7669.90,145.51,0,0,0,0,0,0
17.95,7706.00,140.00,7677.12,144.40,0,0,0,0,0,0
18.00,7716.00,200.00,7684.90,155.53,0,0,0,0,0,0
18.05,7721.00,100.00,7692.12,144.42,0,0,0,0,0,0
18.10,7728.00,140.00,7699.29,143.54,0,0,0,0,0,0
18.15,7734.00,120.00,7706.23,138.83,0,0,0,0,0,0
18.20,7741.00,140.00,7713.19,139.06,0,0,0,0,0,0
18.25,7748.00,140.00,7720.15,139.25,0,0,0,0,0,0
18.30,7752.00,80.00,7726.52,127.40,0,0,0,0,0,0
18.35,7757.00,100.00,7732.62,121.92,0,0,0,0,0,0
18.40,7769.00,240.00,7739.89,145.54,0,0,0,0,0,0
18.45,7772.00,60.00,7746.31,128.43,0,0,0,0,0,0
18.50,7779.00,140.00,7752.85,130.74,0,0,0,0,0,0
18.55,7784.00,100.00,7759.08,124.59,0,0,0,0,0,0
18.60,7788.00,80.00,7764.86,115.67,0,0,0,0,0,0
18.65,7798.00,200.00,7771.49,132.54,0,0,0,0,0,0
18.70,7803.00,100.00,7777.79,126.04,0,0,0,0,0,0
18.75,7812.00,180.00,7784.63,136.83,0,0,0,0,0,0
18.80,7816.00,80.00,7790.91,125.46,0,0,0,0,0,0
18.85,7821.00,100.00,7796.93,120.37,0,0,0,0,0,0
18.90,7826.00,100.00,7802.74,116.30,0,0,0,0,0,0
18.95,7833.00,140.00,7808.79,121.04,0,0,0,0,0,0
19.00,7836.00,60.00,7814.23,108.83,0,0,0,0,0,0
19.05,7845.00,180.00,7820.39,123.07,0,0,0,0,0,0
19.10,7847.00,40.00,7825.71,106.45,0,0,0,0,0,0
19.15,7852.00,100.00,7830.97,105.16,0,0,0,0,0,0
19.20,7855.00,60.00,7835.77,96.13,0,0,0,0,0,0
19.25,7862.00,140.00,7841.02,104.90,0,0,0,0,0,0
19.30,7866.00,80.00,7846.02,99.92,0,0,0,0,0,0
19.35,7873.00,140.00,7851.41,107.94,0,0,0,0,0,0
19.40,7880.00,140.00,7857.13,114.35,0,0,0,0,0,0
19.45,7885.00,100.00,7862.70,111.48,0,0,0,0,0,0
19.50,7888.00,60.00,7867.76,101.18,0,0,0,0,0,0
19.55,7891.00,60.00,7872.41,92.95,0,0,0,0,0,0
19.60,7897.00,120.00,7877.33,98.36,0,0,0,0,0,0
19.65,7899.00,40.00,7881.66,86.69,0,0,0,0,0,0
19.70,7905.00,120.00,7886.33,93.35,0,0,0,0,0,0
19.75,7910.00,100.00,7891.06,94.68,0,0,0,0,0,0
19.80,7915.00,100.00,7895.85,95.74,0,0,0,0,0,0
19.85,7919.00,80.00,7900.48,92.60,0,0,0,0,0,0
19.90,7922.00,60.00,7904.79,86.07,0,0,0,0,0,0
19.95,7928.00,120.00,7909.43,92.86,0,0,0,0,0,0
20.00,7930.00,40.00,7913.54,82.29,0,0,0,0,0,0
20.05,7933.00,60.00,7917.43,77.83,0,0,0,0,0,0
20.10,7936.00,60.00,7921.15,74.27,0,0,0,0,0,0
20.15,7940.00,80.00,7924.92,75.41,0,0,0,0,0,0
20.20,7945.00,100.00,7928.93,80.33,0,0,0,0,0,0
20.25,7948.00,60.00,7932.75,76.26,0,0,0,0,0,0
20.30,7954.00,120.00,7937.00,85.01,0,0,0,0,0,0
